passenger_class,name,age,embarked,home_destination,sex,survive
1st,"Allen,MissElisabethWalton",29,Southampton,"StLouis,MO",female,1
1st,"Allison,MissHelenLoraine",2,Southampton,"Montreal,PQ/Chesterville,ON",female,0
1st,"Allison,MrHudsonJoshuaCreighton",30,Southampton,"Montreal,PQ/Chesterville,ON",male,0
1st,"Allison,MrsHudsonJ.C.(BessieWaldoDaniels)",25,Southampton,"Montreal,PQ/Chesterville,ON",female,0
1st,"Allison,MasterHudsonTrevor",0.9167,Southampton,"Montreal,PQ/Chesterville,ON",male,1
1st,"Anderson,MrHarry",47,Southampton,"NewYork,NY",male,1
1st,"Andrews,MissKorneliaTheodosia",63,Southampton,"Hudson,NY",female,1
1st,"Andrews,MrThomas,jr",39,Southampton,"Belfast,NI",male,0
1st,"Appleton,MrsEdwardDale(CharlotteLamson)",58,Southampton,"Bayside,Queens,NY",female,1
1st,"Artagaveytia,MrRamon",71,Cherbourg,"Montevideo,Uruguay",male,0
1st,"Astor,ColonelJohnJacob",47,Cherbourg,"NewYork,NY",male,0
1st,"Astor,MrsJohnJacob(MadeleineTalmadgeForce)",19,Cherbourg,"NewYork,NY",female,1
1st,"Aubert,MrsLeontinePauline",30,Cherbourg,"Paris,France",female,1
1st,"Barkworth,MrAlgernonH.",30,Southampton,"Hessle,Yorks",male,1
1st,"Baumann,MrJohnD.",30,Southampton,"NewYork,NY",male,0
1st,"Baxter,MrsJames(HeleneDeLaudeniereChaput)",50,Cherbourg,"Montreal,PQ",female,1
1st,"Baxter,MrQuiggEdmond",24,Cherbourg,"Montreal,PQ",male,0
1st,"Beattie,MrThomson",36,Cherbourg,"Winnipeg,MN",male,0
1st,"Beckwith,MrRichardLeonard",37,Southampton,"NewYork,NY",male,1
1st,"Beckwith,MrsRichardLeonard(SallieMonypeny)",47,Southampton,"NewYork,NY",female,1
1st,"Behr,MrKarlHowell",26,Cherbourg,"NewYork,NY",male,1
1st,"Birnbaum,MrJakob",25,Cherbourg,"SanFrancisco,CA",male,0
1st,"Bishop,MrDickinsonH.",25,Cherbourg,"Dowagiac,MI",male,1
1st,"Bishop,MrsDickinsonH.(HelenWalton)",19,Cherbourg,"Dowagiac,MI",female,1
1st,"Bjornstrm-Steffansson,MrMauritzHakan",28,Southampton,"Stockholm,Sweden/Washington,DC",male,1
1st,"Blackwell,MrStephenWeart",45,Southampton,"Trenton,NJ",male,0
1st,"Blank,MrHenry",39,Cherbourg,"GlenRidge,NJ",male,1
1st,"Bonnell,MissCaroline",30,Southampton,"Youngstown,OH",female,1
1st,"Bonnell,MissElizabeth",58,Southampton,"Birkdale,EnglandCleveland,Ohio",female,1
1st,"Borebank,MrJohnJames",30,Southampton,"London/Winnipeg,MB",male,0
1st,"Bowen,MissGraceScott",45,Cherbourg,"Cooperstown,NY",female,1
1st,"Bowerman,MissElsieEdith",22,Southampton,"StLeonards-on-Sea,EnglandOhio",female,1
1st,"Bradley,MrGeorge",30,Southampton,"LosAngeles,CA",male,1
1st,"Brady,MrJohnBertram",41,Southampton,"Pomeroy,WA",male,0
1st,"Brandeis,MrEmil",48,Cherbourg,"Omaha,NE",male,0
1st,"Brewe,DrArthurJackson",30,Cherbourg,"Philadelphia,PA",male,0
1st,"Brown,MrsJamesJoseph(MargaretMolly""Tobin)""""""",44,Cherbourg,"Denver,CO",female,1
1st,"Brown,MrsJohnMurray(CarolineLaneLamson)",59,Southampton,"Belmont,MA",female,1
1st,"Bucknell,MrsWilliamRobert(EmmaElizaWard)",60,Cherbourg,"Philadelphia,PA",female,1
1st,"Butt,MajorArchibaldWillingham",45,Southampton,"Washington,DC",male,0
1st,"Calderhead,MrEdwardP.",30,Southampton,"NewYork,NY",male,1
1st,"Candee,MrsEdward(HelenChurchillHungerford)",53,Cherbourg,"Washington,DC",female,1
1st,"Cardeza,MrsJamesWarburtonMartinez(CharlotteWardleDrake)",58,Cherbourg,"Germantown,Philadelphia,PA",female,1
1st,"Cardeza,MrThomasDrakeMartinez",36,Cherbourg,"Austria-Hungary/Germantown,Philadelphia,PA",male,1
1st,"Carlsson,MrFransOlof",33,Southampton,"NewYork,NY",male,0
1st,"Carrau,MrFranciscoM.",30,Southampton,"Montevideo,Uruguay",male,0
1st,"Carrau,MrJosePedro",30,Southampton,"Montevideo,Uruguay",male,0
1st,"Carter,MrWilliamErnest",36,Southampton,"BrynMawr,PA",male,1
1st,"Carter,MrsWilliamErnest(LucilePolk)",36,Southampton,"BrynMawr,PA",female,1
1st,"Carter,MissLucilePolk",14,Southampton,"BrynMawr,PA",female,1
1st,"Carter,MasterWilliamT.II",11,Southampton,"BrynMawr,PA",male,1
1st,"Case,MrHowardBrown",49,Southampton,"Ascot,Berkshire/Rochester,NY",male,0
1st,"Cassebeer,MrsHenryArthurjr(GenevieveFosdick)",30,Cherbourg,"NewYork,NY",female,1
1st,"Cavendish,MrTyrellWilliam",36,Southampton,"LittleOnnHall,Staffs",male,0
1st,"Cavendish,MrsTyrellWilliamJuliaFlorenceSiegel",30,Southampton,"LittleOnnHall,Staffs",female,1
1st,"Chaffee,MrHerbertFuller",46,Southampton,"Amenia,ND",male,0
1st,"Chaffee,MrsHerbertFuller(CarrieConstanceToogood)",47,Southampton,"Amenia,ND",female,1
1st,"Chambers,MrNormanCampbell",27,Southampton,"NewYork,NY/Ithaca,NY",male,1
1st,"Chambers,MrsNormanCampbell(BerthaGriggs)",31,Southampton,"NewYork,NY/Ithaca,NY",female,1
1st,"Cherry,MissGladys",30,Southampton,"London,England",female,1
1st,"Chevre,MrPaul",30,Cherbourg,"Paris,France",male,1
1st,"Chibnall(Bowerman),MrsEdithMartha",30,Southampton,"StLeonards-on-Sea,EnglandOhio",female,1
1st,"Chisholm,MrRoderickRobert",30,Southampton,"Liverpool,England/Belfast",male,0
1st,"Clark,MrWalterMiller",27,Cherbourg,"LosAngeles,CA",male,0
1st,"Clark,MrsWalterMiller(VirginiaMcDowell)",26,Cherbourg,"LosAngeles,CA",female,1
1st,"Clifford,MrGeorgeQuincy",30,Southampton,"Stoughton,MA",male,0
1st,"Colley,MrEdwardPomeroy",30,Southampton,"Victoria,BC",male,0
1st,"Compton,MrsAlexanderTaylor(MaryElizaIngersoll)",64,Cherbourg,"Lakewood,NJ",female,1
1st,"Compton,MrAlexanderTaylor,Jr",37,Cherbourg,"Lakewood,NJ",male,0
1st,"Compton,MissSaraRebecca",39,Cherbourg,"Lakewood,NJ",female,1
1st,"Cornell,MrsRobertClifford(MalvinaHelenLamson)",55,Southampton,"NewYork,NY",female,1
1st,"Crafton,MrJohnBertram",30,Southampton,"Roachdale,IN",male,0
1st,"Crosby,CaptainEdwardGifford",70,Southampton,"Milwaukee,WI",male,0
1st,"Crosby,MrsEdwardGifford(CatherineElizabethHalstead)",69,Southampton,"Milwaukee,WI",female,1
1st,"Crosby,MissHarrietR.",36,Southampton,"Milwaukee,WI",female,1
1st,"Cumings,MrJohnBradley",39,Cherbourg,"NewYork,NY",male,0
1st,"Cumings,MrsJohnBradley(FlorenceBriggsThayer)",38,Cherbourg,"NewYork,NY",female,1
1st,"Daly,MrPeterDenis",30,Southampton,"Lima,Peru",male,1
1st,"Daniel,MrRobertWilliams",27,Southampton,"Philadelphia,PA",male,1
1st,"Davidson,MrThornton",31,Southampton,"Montreal,PQ",male,0
1st,"Davidson,MrsThornton(OrianHays)",27,Southampton,"Montreal,PQ",female,1
1st,"deVilliers,MadameBerthe",30,Cherbourg,"BelgiumMontreal,PQ",female,1
1st,"Dick,MrAlbertAdrian",31,Cherbourg,"Calgary,AB",male,1
1st,"Dick,MrsAlbertAdrianVeraGillespie",17,Cherbourg,"Calgary,AB",female,1
1st,"Dodge,Dr.Washington",30,Southampton,"SanFrancisco,CA",male,1
1st,"Dodge,MrsWashington(RuthVidaver)",30,Southampton,"SanFrancisco,CA",female,1
1st,"Dodge,MasterWashington",4,Southampton,"SanFrancisco,CA",male,1
1st,"Douglas,MrsFrederickCharles(SuzetteBaxter)",27,Cherbourg,"Montreal,PQ",female,1
1st,"Douglas,MrWalterDonald",50,Cherbourg,"Deephaven,MN/CedarRapids,IA",male,0
1st,"Douglas,MrsWalterDonald(MahalaDutton)",48,Cherbourg,"Deephaven,MN/CedarRapids,IA",female,1
1st,"DuffGordon,SirCosmoEdmund",49,Cherbourg,London/Paris,male,1
1st,"DuffGordon,Lady(LucilleWallaceSutherland)",48,Cherbourg,London/Paris,female,1
1st,"Dulles,MrWilliamCrothers",39,Cherbourg,"Philadelphia,PA",male,0
1st,"Earnshaw,MrsBoulton(OlivePotter)",23,Cherbourg,"MtAiry,Philadelphia,PA",female,1
1st,"Eustis,MissElizabethMussey",53,Cherbourg,"Brookline,MA",female,1
1st,"Evans,MissEdithCorse",36,Cherbourg,"NewYork,NY",female,0
1st,"Flegenheim,MrsAlfred(Antoinette)",30,Cherbourg,"NewYork,NY",female,1
1st,"Flynn,MrJohnIrving",30,Southampton,"Brooklyn,NY",male,1
1st,"Foreman,MrBenjaminLaventall",30,Cherbourg,"NewYork,NY",male,0
1st,"Fortune,MissAliceElizabeth",24,Southampton,"Winnipeg,MB",female,1
1st,"Fortune,MrCharlesAlexander",19,Southampton,"Winnipeg,MB",male,0
1st,"Fortune,MissEthelFlora",28,Southampton,"Winnipeg,MB",female,1
1st,"Fortune,MissMabel",23,Southampton,"Winnipeg,MB",female,1
1st,"Fortune,MrMark",64,Southampton,"Winnipeg,MB",male,0
1st,"Fortune,MrsMark(MaryMcDougald)",60,Southampton,"Winnipeg,MB",female,1
1st,"Franklin,MrThomasParham",30,Southampton,"Westcliff-on-Sea,Essex",male,0
1st,"Frauenthal,DrHenryWilliam",49,Cherbourg,"NewYork,NY",male,1
1st,"Frauenthal,MrsHenryWilliam(ClaraHeinsheimer)",30,Cherbourg,"NewYork,NY",female,1
1st,"Frauenthal,MrIsaacGerald",44,Southampton,"NewYork,NY",male,1
1st,"Frolicher,MissMarguerite",22,Cherbourg,"Zurich,Switzerland",female,1
1st,"Frolicher-Stehli,MrMaxmillian",60,Cherbourg,"Zurich,Switzerland",male,1
1st,"Frolicher-Stehli,MrsMaxmillian(MargarethaEmerentiaStehli)",48,Cherbourg,"Zurich,Switzerland",female,1
1st,"Futrelle,MrJacques",37,Southampton,"Scituate,MA",male,0
1st,"Futrelle,MrsJacques(MayPeel)",35,Southampton,"Scituate,MA",female,1
1st,"Gee,MrArthurH.",47,Southampton,"StAnne's-on-Sea,Lancashire",male,0
1st,"Gibson,MissDorothy",22,Cherbourg,"NewYork,NY",female,1
1st,"Gibson,MrsLeonard(PaulineC.Boeson)",45,Cherbourg,"NewYork,NY",female,1
1st,"Goldenberg,MrSamuelL.",49,Cherbourg,"Paris,France/NewYork,NY",male,1
1st,"Goldenberg,MrsSamuelL.(EdwigaGrabowsko)",30,Cherbourg,"Paris,France/NewYork,NY",female,1
1st,"Goldschmidt,MrGeorgeB.",71,Cherbourg,"NewYork,NY",male,0
1st,"Gracie,ColonelArchibaldIV",54,Southampton,"Washington,DC",male,1
1st,"Graham,MrGeorgeEdward",38,Southampton,"Winnipeg,MB",male,0
1st,"Graham,MissMargaretEdith",19,Southampton,"Greenwich,CT",female,1
1st,"Graham,MrsWilliamThompson(EdithJunkins)",58,Southampton,"Greenwich,CT",female,1
1st,"Greenfield,MrsLeoDavid(BlancheStrouse)",45,Cherbourg,"NewYork,NY",female,1
1st,"Greenfield,MrWilliamBertram",23,Cherbourg,"NewYork,NY",male,1
1st,"Guggenheim,MrBenjamin",46,Cherbourg,"NewYork,NY",male,0
1st,"Harder,MrGeorgeAchilles",25,Cherbourg,"Brooklyn,NY",male,1
1st,"Harder,MrsGeorgeAchilles(DorothyAnnan)",21,Cherbourg,"Brooklyn,NY",female,1
1st,"Harper,MrHenrySleeper",48,Cherbourg,"NewYork,NY",male,1
1st,"Harper,MrsHenrySleeper(MynaHaxtun)",49,Cherbourg,"NewYork,NY",female,1
1st,"Harris,MrHenryBirkhardt",45,Southampton,"NewYork,NY",male,0
1st,"Harris,MrsHenryBirkhardt(IreneWallach)",36,Southampton,"NewYork,NY",female,1
1st,"Hawksford,MrWalterJames",30,Southampton,"Kingston,Surrey",male,1
1st,"Hays,MrCharlesMelville",55,Southampton,"Montreal,PQ",male,0
1st,"Hays,MrsCharlesMelville(ClaraJenningsGregg)",52,Southampton,"Montreal,PQ",female,1
1st,"Hays,MissMargaretBechstein",24,Southampton,"NewYork,NY",female,1
1st,"Head,MrChristopher",30,Southampton,London/Middlesex,male,0
1st,"Hilliard,MrHerbertHenry",30,Southampton,"Brighton,MA",male,0
1st,"Hipkins,MrWilliamEdward",30,Southampton,London/Birmingham,male,0
1st,"Hippach,MissJeanGertrude",16,Cherbourg,"Chicago,IL",female,1
1st,"Hippach,MrsLouisAlbert(IdaSophiaFischer)",44,Cherbourg,"Chicago,IL",female,1
1st,"Hogeboom,MrsJohnC.(AnnaAndrews)",51,Southampton,"Hudson,NY",female,1
1st,"Holverson,MrAlexanderOskar",42,Southampton,"NewYork,NY",male,0
1st,"Holverson,MrsAlexanderOskar(MaryAlineTowner)",35,Southampton,"NewYork,NY",female,1
1st,"Homer,MrHarry",35,Cherbourg,"Indianapolis,IN",male,1
1st,"Hoyt,MrFrederickMaxfield",38,Southampton,"NewYork,NY/StamfordCT",male,1
1st,"Hoyt,MrsFrederickMaxfield(JaneAnneForby)",35,Southampton,"NewYork,NY/StamfordCT",female,1
1st,"Hoyt,MrWilliamF.",30,Cherbourg,"NewYork,NY",male,0
1st,"Isham,MissAnneElizabeth",50,Cherbourg,"Paris,FranceNewYork,NY",female,0
1st,"Ismay,MrJosephBruce",49,Southampton,Liverpool,male,1
1st,"Jones,MrCharlesCresson",46,Southampton,"Bennington,VT",male,0
1st,"Julian,MrHenryForbes",30,Southampton,London,male,0
1st,"Kent,MrEdwardAustin",58,Cherbourg,"Buffalo,NY",male,0
1st,"Kenyon,MrFrederickR.",41,Southampton,"Southington/Noank,CT",male,0
1st,"Kenyon,MrsFrederickR.(Marion)",30,Southampton,"Southington/Noank,CT",female,1
1st,"Kimball,MrEdwinNelsonJr.",42,Southampton,"Boston,MA",male,1
1st,"Kimball,MrsEdwinNelsonJr.(GertrudeParsons)",40,Southampton,"Boston,MA",female,1
1st,"Klaber,MrHerman",30,Southampton,"Portland,OR",male,0
1st,"Leader,DrAliceFarnham",30,Southampton,"NewYork,NY",female,1
1st,"Lewy,MrErvinG.",30,Cherbourg,"Chicago,IL",male,0
1st,"Lindeberg-Lind,MrErikGustaf",42,Southampton,"Stockholm,Sweden",male,0
1st,"Lindstrom,MrsCarlJohan(SigridPosse)",55,Cherbourg,"Stockholm,Sweden",female,1
1st,"Lines,MrsErnestH.(ElizabethLindseyJames)",50,Cherbourg,"Paris,France",female,1
1st,"Lines,MissMaryConover",16,Cherbourg,"Paris,France",female,1
1st,"Lingrey,MrEdward",30,Southampton,,male,0
1st,"Long,MrMiltonClyde",29,Southampton,"Springfield,MA",male,0
1st,"Longley,MissGretchenFiske",21,Southampton,"Hudson,NY",female,1
1st,"Loring,MrJosephHolland",30,Southampton,"London/NewYork,NY",male,0
1st,"Madill,MissGeorgetteAlexandra",15,Southampton,"StLouis,MO",female,1
1st,"Maguire,MrJohnEdward",30,Southampton,"Brockton,MA",male,0
1st,"Marechal,MrPierre",30,Cherbourg,"Paris,France",male,1
1st,"Marvin,MrDanielWarner",30,Southampton,"NewYork,NY",male,0
1st,"Marvin,MrsDanielWarner(MaryGrahamCarmichaelFarquarson)",30,Southampton,"NewYork,NY",female,1
1st,"McCaffry,MrThomasFrancis",46,Cherbourg,"Vancouver,BC",male,0
1st,"McCarthy,MrTimothyJ.",54,Southampton,"Dorchester,MA",male,0
1st,"McGough,MrJamesR.",36,Southampton,"Philadelphia,PA",male,1
1st,"Meyer,MrEdgarJoseph",28,Cherbourg,"NewYork,NY",male,0
1st,"Meyer,MrsEdgarJoseph(LeilaSaks)",30,Cherbourg,"NewYork,NY",female,1
1st,"Millet,MrFrancisDavis",65,Southampton,"EastBridgewater,MA",male,0
1st,"Minahan,MissDaisyE.",33,Queenstown,"GreenBay,WI",female,1
1st,"Minahan,DrWilliamEdward",44,Queenstown,"FondduLac,WI",male,0
1st,"Minahan,MrsWilliamEdward(LillianE.Thorpe)",37,Queenstown,"FondduLac,WI",female,1
1st,"Mock,MrPhilipE.",30,Cherbourg,"NewYork,NY",male,1
1st,"Molson,MrHarryMarkland",55,Southampton,"Montreal,PQ",male,0
1st,"Moore,MrClarenceBloomfield",47,Southampton,"Washington,DC",male,0
1st,"Natsch,MrCharlesH.",36,Cherbourg,"Brooklyn,NY",male,0
1st,"Newell,MrArthurWebster",58,Cherbourg,"Lexington,MA",male,0
1st,"Newell,MissMadeleine",31,Cherbourg,"Lexington,MA",female,1
1st,"Newell,MissMarjorie",23,Cherbourg,"Lexington,MA",female,1
1st,"Newsom,MissHelenMonypeny",19,Southampton,"NewYork,NY",female,1
1st,"Nicholson,MrArthurErnest",64,Southampton,"IsleofWight,England",male,0
1st,"Omont,MrA.Fernand",30,Cherbourg,"Paris,France",male,1
1st,"Ostby,MrEngelhartCornelius",64,Cherbourg,"Providence,RI",male,0
1st,"Ostby,MissHelenRaghnild",22,Cherbourg,"Providence,RI",female,1
1st,"OviesyRodriguez,MrServando",28,Southampton,"?Havana,Cuba",male,0
1st,"Parr,MrWilliamHenryMarsh",30,Southampton,Belfast,male,0
1st,"Partner,MrAustin",30,Southampton,"SurbitonHill,Surrey",male,0
1st,"Payne,MrVivianPonsonby",22,Southampton,"Montreal,PQ",male,0
1st,"Pears,MrThomas",30,Southampton,"Isleworth,England",male,0
1st,"Pears,MrsThomas(Edith)",30,Southampton,"Isleworth,England",female,1
1st,"Penasco,MrVictordeSatode",18,Cherbourg,"Madrid,Spain",male,0
1st,"Penasco,MrsVictordeSatode(JosefadeSoto)",17,Cherbourg,"Madrid,Spain",female,1
1st,"Peuchen,MajorArthurGodfrey",52,Southampton,"Toronto,ON",male,1
1st,"Porter,MrWalterChamberlain",46,Southampton,"Worcester,MA",male,0
1st,"Potter,MrsThomas,Jr.(LilyAlexeniaWilson)",56,Cherbourg,"MtAiry,Philadelphia,PA",female,1
1st,"Reuchlin,JonkheerJohnGeorge",30,Southampton,"Rotterdam,Netherlands",male,0
1st,"Rheims,MrGeorgeLucien",30,Cherbourg,"Paris/NewYork,NY",male,1
1st,"Robert,MrsEdwardScott(ElisabethWaltonMcMillan)",43,Southampton,"StLouis,MO",female,1
1st,"Roebling,MrWashingtonAugustus2nd",31,Southampton,"Trenton,NJ",male,0
1st,"Romaine,MrCharlesHallace",30,Southampton,"NewYork,NY",male,1
1st,"Rood,MrHughR.",30,Southampton,"Seattle,WA",male,0
1st,"Rosenbaum(Russell),MissEdithLouise",33,Cherbourg,"Paris,France",female,1
1st,"Ross,MrJohnHugo",30,Cherbourg,"Winnipeg,MB",male,0
1st,"Rothes,theCountessof(NoelLucyMarthaDyer-Edwardes)",27,Southampton,"LondonVancouver,BC",female,1
1st,"Rothschild,MrMartin",55,Cherbourg,"NewYork,NY",male,0
1st,"Rothschild,MrsMartin(ElizabethL.Barrett)",54,Cherbourg,"NewYork,NY",female,1
1st,"Rowe,MrAlfredG.",30,Southampton,London,male,0
1st,"Ryerson,MrArthurLarned",61,Cherbourg,"Haverford,PA/Cooperstown,NY",male,0
1st,"Ryerson,MrsArthurLarned(EmilyMariaBorie)",48,Cherbourg,"Haverford,PA/Cooperstown,NY",female,1
1st,"Ryerson,MissEmilyBorie",18,Cherbourg,"Haverford,PA/Cooperstown,NY",female,1
1st,"Ryerson,MasterJohnBorie",13,Cherbourg,"Haverford,PA/Cooperstown,NY",male,1
1st,"Ryerson,MissSusan(Suzette)Parker",21,Cherbourg,"Haverford,PA/Cooperstown,NY",female,1
1st,"Saalfeld,MrAdolphe",30,Southampton,"Manchester,England",male,1
1st,"Salomon,MrAbrahamL.",30,Southampton,"NewYork,NY",male,1
1st,"Schabert,MrsPaul(EmmaMock)",30,Cherbourg,"NewYork,NY",female,1
1st,"Seward,MrFredericKimber",34,Southampton,"NewYork,NY",male,1
1st,"Shutes,MissElizabethW.",40,Southampton,"NewYork,NY/GreenwichCT",female,1
1st,"Silverthorne,MrSpencerVictor",36,Southampton,"StLouis,MO",male,1
1st,"Silvey,MrWilliamBaird",50,Southampton,"Duluth,MN",male,0
1st,"Silvey,MrsWilliamBaird(AliceMunger)",39,Southampton,"Duluth,MN",female,1
1st,"Simonius-Blumer,ColAlfons",56,Southampton,"Basel,Switzerland",male,1
1st,"Sloper,MrWilliamThompson",28,Southampton,"NewBritain,CT",male,1
1st,"Smart,MrJohnMontgomery",56,Southampton,"NewYork,NY",male,0
1st,"Smith,MrJamesClinch",56,Cherbourg,"StJames,LongIsland,NY",male,0
1st,"Smith,MrLucienPhilip",24,Southampton,"Huntington,WV",male,0
1st,"Smith,MrsLucienPhilip(MaryEloiseHughes",18,Southampton,"Huntington,WV",female,1
1st,"Smith,MrRichardWilliam",30,Southampton,"Streatham,Surrey",male,0
1st,"Snyder,MrJohnPillsbury",24,Southampton,"Minneapolis,MN",male,1
1st,"Snyder,MrsJohnPillsbury(NelleStevenson)",23,Southampton,"Minneapolis,MN",female,1
1st,"Spedden,MrFrederickOakley",45,Cherbourg,"TuxedoPark,NY",male,1
1st,"Spedden,MrsFrederickOakley(MargarettaCorningStone)",40,Cherbourg,"TuxedoPark,NY",female,1
1st,"Spedden,MasterRobertDouglas",6,Cherbourg,"TuxedoPark,NY",male,1
1st,"Spencer,MrWilliamAugustus",57,Cherbourg,"Paris,France",male,0
1st,"Spencer,MrsWilliamAugustus(MarieEugenie)",30,Cherbourg,"Paris,France",female,1
1st,"Staehlin,DrMax",32,Cherbourg,"Basel,Switzerland",male,1
1st,"Stead,MrWilliamThomas",62,Southampton,"WimbledonPark,London/HaylingIsland,Hants",male,0
1st,"Stengel,MrCharlesEmilHenry",54,Cherbourg,"Newark,NJ",male,1
1st,"Stengel,MrsCharlesEmilHenry(AnnieMayMorris)",43,Cherbourg,"Newark,NJ",female,1
1st,"Stephenson,MrsWalterBertram(MarthaEustis)",52,Southampton,"Haverford,PA",female,1
1st,"Stewart,MrAlbertA.",30,Cherbourg,"Gallipolis,Ohio/?Paris/NewYork",male,0
1st,"Stone,MrsGeorgeNelson(MarthaE.)",62,Southampton,"Cincinatti,OH",female,1
1st,"Straus,MrIsidor",67,Southampton,"NewYork,NY",male,0
1st,"Straus,MrsIsidor(IdaBlun)",63,Southampton,"NewYork,NY",female,0
1st,"Sutton,MrFrederick",61,Southampton,"Haddenfield,NJ",male,0
1st,"Swift,MrsFrederickJoel(MargaretWellesBarron)",46,Southampton,"Brooklyn,NY",female,1
1st,"Taussig,MrEmil",52,Southampton,"NewYork,NY",male,0
1st,"Taussig,MrsEmil(TillieMandelbaum)",39,Southampton,"NewYork,NY",female,1
1st,"Taussig,MissRuth",18,Southampton,"NewYork,NY",female,1
1st,"Taylor,MrElmerZebley",48,Southampton,"London/EastOrange,NJ",male,1
1st,"Taylor,MrsElmerZebley(JulietCumminsWright)",30,Southampton,"London/EastOrange,NJ",female,1
1st,"Thayer,MrJohnBorland",49,Cherbourg,"Haverford,PA",male,0
1st,"Thayer,MrsJohnBorland(MarianLongstrethMorris)",39,Cherbourg,"Haverford,PA",female,1
1st,"Thayer,MrJohnBorland,jr.",17,Cherbourg,"Haverford,PA",male,1
1st,"Thorne,MrGeorge(aliasof:MrGeorgeRosenshine)",46,Cherbourg,"NewYork,NY",male,0
1st,"Thorne,MrsGertrudeMaybelle",30,Cherbourg,"NewYork,NY",female,1
1st,"Tucker,MrGilbertMilligan,jr",31,Cherbourg,"Albany,NY",male,1
1st,"Uruchurtu,MrManuelE.",30,Cherbourg,"MexicoCity,Mexico",male,0
1st,"VanDerhoef,MrWyckoff",61,Southampton,"Brooklyn,NY",male,0
1st,"Walker,MrWilliamAnderson",47,Southampton,"EastOrange,NJ",male,0
1st,"Warren,MrFrankManley",64,Cherbourg,"Portland,OR",male,0
1st,"Warren,MrsFrankManley(AnnaS.Atkinson)",60,Cherbourg,"Portland,OR",female,1
1st,"Weir,ColJohn",60,Southampton,"EnglandSaltLakeCity,Utah",male,0
1st,"White,MrsJ.Stuart(EllaHolmes)",55,Cherbourg,"NewYork,NY/BriarcliffManorNY",female,1
1st,"White,MrPercivalWayland",54,Southampton,"Brunswick,ME",male,0
1st,"White,MrRichardFrasar",21,Southampton,"Brunswick,ME",male,0
1st,"Wick,MrGeorgeDennick",57,Southampton,"Youngstown,OH",male,0
1st,"Wick,MrsGeorgeDennick(MarthaHitchcock)",45,Southampton,"Youngstown,OH",female,1
1st,"Wick,MissMaryNatalie",31,Southampton,"Youngstown,OH",female,1
1st,"Widener,MrGeorgeDunton",50,Cherbourg,"ElkinsPark,PA",male,0
1st,"Widener,MrsGeorgeDunton(EleanorElkins)",50,Cherbourg,"ElkinsPark,PA",female,1
